name,mainInfo,rightAscension,declination,distance,visualBrightness,apparentDimension,link
 Messier 101 ,Spiral Galaxy  M101 (NGC 5457),14 : 03.2 (h:m),+54 : 21 (deg:m),27000 (kly),7.9 (mag) ,22.0 (arc min),http://www.messier.seds.org/m/m101.html
 Messier 102 ,Lenticular (S0) Galaxy M102 (NGC 5866),15 : 06.5 (h:m),+55 : 46 (deg:m),45000 (kly),9.9 (mag) ,5.2x2.3 (arc min),http://www.messier.seds.org/m/m102.html
 Messier 103 ,Open Cluster  M103 (NGC 581),01 : 33.2 (h:m),+60 : 42 (deg:m),8.5 (kly),7.4 (mag) ,6.0 (arc min),http://www.messier.seds.org/m/m103.html
 Messier 104 ,Spiral Galaxy  M104 (NGC 4594),12 : 40.0 (h:m),-11 : 37 (deg:m),50000 (kly),8.0 (mag) ,9x4 (arc min),http://www.messier.seds.org/m/m104.html
 Messier 105 ,Elliptical Galaxy  M105 (NGC 3379),10 : 47.8 (h:m),+12 : 35 (deg:m),38000 (kly),9.3 (mag) ,2.0 (arc min),http://www.messier.seds.org/m/m105.html
 Messier 106 ,Spiral Galaxy  M106 (NGC 4258),12 : 19.0 (h:m),+47 : 18 (deg:m),25000 (kly),8.4 (mag) ,19x8 (arc min),http://www.messier.seds.org/m/m106.html
 Messier 107 ,Globular Cluster  M107 (NGC 6171),16 : 32.5 (h:m),-13 : 03 (deg:m),20.9 (kly),7.9 (mag) ,13.0 (arc min),http://www.messier.seds.org/m/m107.html
 Messier 108 ,Spiral Galaxy  M108 (NGC 3556),11 : 11.5 (h:m),+55 : 40 (deg:m),45000 (kly),10.0 (mag) ,8x1 (arc min),http://www.messier.seds.org/m/m108.html
 Messier 109 ,Spiral Galaxy  M109 (NGC 3992),11 : 57.6 (h:m),+53 : 23 (deg:m),55000 (kly),9.8 (mag) ,7x4 (arc min),http://www.messier.seds.org/m/m109.html
 Messier 109B  NGC 3953 ,Spiral Galaxy  M109B (NGC 3953),11 : 53.8 (h:m),+52 : 20 (deg:m),55000 (kly),10.1 (mag) ,7x4 (arc min),http://www.messier.seds.org/m/m109b.html
 Messier 110 ,Elliptical Galaxy  M110 (NGC 205),00 : 40.4 (h:m),+41 : 41 (deg:m),2900 (kly),8.5 (mag) ,17x10 (arc min),http://www.messier.seds.org/m/m110.html
